13
0.00128	0.04034	5.06E-04	0.02934	0.04841	7,66771	;	16.10.2019
2.54E+01	2.15E+01	1.19E+01	2.55E+01	2.15E+01	1,210631336		
7.63E-04	0.03685	4.57E-04	0.01754	0.04422	8,94625		
2.68E+01	2.21E+01	1.26E+01	2.69E+01	2.21E+01	0,958255135		
9.94E-04	0.04086	4.30E-04	0.02286	0.04903	9,36348		
2.76E+01	2.23E+01	1.29E+01	2.76E+01	2.23E+01	0,815089048		
0.01261	0.13535	0.00142	0.28992	0.16242	9,95229		
2.43E+01	2.15E+01	7.52E+00	2.44E+01	2.15E+01	0,818698008		
0.02351	0.20645	0.00195	0.54071	0.24774	9,56052		
2.54E+01	2.21E+01	6.55E+00	2.54E+01	2.21E+01	0,802228331		
0.08203	0.46629	0.00434	1.88659	0.55954	8,83182		
2.74E+01	2.32E+01	4.57E+00	2.74E+01	2.32E+01	0,793818262		
0.1082	0.22613	0.00311	2.48852	0.27136	10,05841		
3.96E+01	2.65E+01	5.66E+00	3.96E+01	2.65E+01	0,792113266		
0.00954	0.00394	1.15E-04	0.21942	0.00473	10,52306		
7.63E+01	3.78E+01	2.48E+01	7.63E+01	3.78E+01	0,942726735		
0.00279	3.12E-04	1.02E-05	0.06425	3.74E-04	8,91434		
9.61E+01	4.92E+01	3.95E+01	9.60E+01	4.92E+01	1,047948586		
0.00187	1.61E-04	5.40E-05	0.04309	1.93E-04	7,22865		
1.05E+02	5.11E+01	3.07E+01	1.04E+02	5.11E+01	1,048199871		
7.26E-04	4.25E-05	1.40E-05	0.01669	5.10E-05	6,21066		
1.18E+02	5.24E+01	3.82E+01	1.19E+02	5.24E+01	0,664055028		
5.17E-04	2.73E-05	1.76E-05	0.0119	3.27E-05	11,18135		
1.26E+02	5.23E+01	3.68E+01	1.26E+02	5.23E+01	4,139514459		
5.93E-04	1.31E-05	2.76E-05	0.01363	1.57E-05	11,06261		
1.27E+02	5.32E+01	3.47E+01	1.27E+02	5.32E+01	2,611525671	
