33
3.97E-04	2.91E-04	6.60E-05	0.02244	0.0127	19.85038	;	29.05.2020
6.39E+00	3.16E+00	1.17E+01	6.37E+00	3.16E+00	0.038645608		
4.10E-04	2.86E-04	6.67E-05	0.02322	0.01174	19.47807		
6.49E+00	3.22E+00	1.17E+01	6.50E+00	3.22E+00	0.039295474		
4.51E-04	2.91E-04	6.89E-05	0.02355	0.01069	19.44258		
6.57E+00	3.28E+00	1.17E+01	6.58E+00	3.28E+00	0.040086758		
4.49E-04	2.90E-04	7.09E-05	0.02534	0.01156	20.03593		
6.69E+00	3.35E+00	1.16E+01	6.67E+00	3.35E+00	0.040886547		
4.59E-04	2.83E-04	7.27E-05	0.02642	0.01387	20.04662		
6.80E+00	3.42E+00	1.16E+01	6.81E+00	3.42E+00	0.04162597		
4.65E-04	2.78E-04	7.30E-05	0.0256	0.01421	19.92249		
6.91E+00	3.49E+00	1.16E+01	6.91E+00	3.49E+00	0.042226147		
5.08E-04	2.90E-04	7.81E-05	0.02498	0.01308	19.90644		
7.01E+00	3.55E+00	1.14E+01	7.01E+00	3.55E+00	0.042970014		
5.40E-04	3.09E-04	8.53E-05	0.02464	0.01479	20.20759		
7.12E+00	3.62E+00	1.12E+01	7.10E+00	3.62E+00	0.043783054		
5.53E-04	3.15E-04	9.01E-05	0.02528	0.01519	20.43027		
7.24E+00	3.68E+00	1.10E+01	7.24E+00	3.68E+00	0.044617619		
5.39E-04	3.02E-04	8.59E-05	0.02503	0.01561	20.10301		
7.36E+00	3.76E+00	1.13E+01	7.35E+00	3.76E+00	0.04517035		
5.66E-04	3.04E-04	8.83E-05	0.0253	0.01452	19.73117		
7.47E+00	3.83E+00	1.12E+01	7.47E+00	3.83E+00	0.0457687		
5.66E-04	2.96E-04	8.85E-05	0.026	0.01507	19.20619		
7.61E+00	3.91E+00	1.13E+01	7.62E+00	3.91E+00	0.046514691		
5.92E-04	3.07E-04	9.24E-05	0.02681	0.01418	19.0459		
7.72E+00	3.98E+00	1.11E+01	7.72E+00	3.98E+00	0.047494736		
6.21E-04	2.97E-04	9.42E-05	0.02604	0.01198	18.92021		
7.84E+00	4.07E+00	1.11E+01	7.83E+00	4.07E+00	0.048275891		
6.19E-04	2.94E-04	9.37E-05	0.02705	0.01311	19.08105		
7.97E+00	4.14E+00	1.12E+01	7.95E+00	4.14E+00	0.04921899		
6.37E-04	2.85E-04	9.40E-05	0.02678	0.01429	19.08604		
8.10E+00	4.23E+00	1.12E+01	8.10E+00	4.23E+00	0.049905585		
6.21E-04	2.75E-04	9.02E-05	0.02834	0.01578	19.49616		
8.23E+00	4.32E+00	1.14E+01	8.22E+00	4.32E+00	0.050891047		
6.46E-04	2.71E-04	9.12E-05	0.02811	0.0187	19.63093		
8.36E+00	4.40E+00	1.14E+01	8.36E+00	4.40E+00	0.05172297		
6.51E-04	2.88E-04	9.69E-05	0.0264	0.01961	19.68226		
8.51E+00	4.49E+00	1.13E+01	8.52E+00	4.49E+00	0.052772395		
6.63E-04	2.87E-04	9.96E-05	0.02538	0.01656	19.71096		
8.65E+00	4.57E+00	1.12E+01	8.63E+00	4.57E+00	0.053919241		
6.50E-04	2.77E-04	9.74E-05	0.02286	0.01476	19.83632		
8.79E+00	4.68E+00	1.13E+01	8.79E+00	4.68E+00	0.054833255		
6.78E-04	2.83E-04	9.98E-05	0.02223	0.01491	19.38511		
8.95E+00	4.76E+00	1.13E+01	8.95E+00	4.76E+00	0.055654572		
6.68E-04	2.67E-04	9.98E-05	0.0245	0.01153	19.34821		
9.08E+00	4.85E+00	1.13E+01	9.10E+00	4.85E+00	0.056552518		
6.60E-04	2.37E-04	9.29E-05	0.03074	0.01008	19.30967		
9.21E+00	4.96E+00	1.17E+01	9.21E+00	4.96E+00	0.057848736		
6.59E-04	2.08E-04	8.53E-05	0.03578	0.01203	19.06937		
9.39E+00	5.07E+00	1.21E+01	9.39E+00	5.07E+00	0.058719297		
6.45E-04	1.92E-04	8.40E-05	0.03495	0.01383	19.32271		
9.57E+00	5.18E+00	1.22E+01	9.56E+00	5.18E+00	0.059888597		
6.53E-04	1.78E-04	8.04E-05	0.03293	0.0113	19.7817		
9.69E+00	5.32E+00	1.24E+01	9.69E+00	5.32E+00	0.061470955		
6.73E-04	1.66E-04	8.14E-05	0.02702	0.00875	20.77112		
9.86E+00	5.45E+00	1.24E+01	9.84E+00	5.45E+00	0.063050524		
6.04E-04	1.29E-04	7.31E-05	0.01811	0.00679	21.60285		
1.01E+01	5.59E+00	1.30E+01	1.00E+01	5.59E+00	0.064409557		
6.10E-04	1.18E-04	7.08E-05	0.01373	0.00112	20.659		
1.02E+01	5.68E+00	1.32E+01	1.02E+01	5.69E+00	0.066369621		
6.56E-04	1.39E-04	8.04E-05	0.01452	0.00248	21.02906		
1.03E+01	5.76E+00	1.26E+01	1.03E+01	5.76E+00	0.06806581		
6.44E-04	1.01E-04	7.41E-05	0.01279	0.00317	22.689		
1.04E+01	5.89E+00	1.30E+01	1.04E+01	5.88E+00	0.070401516		
6.00E-04	5.86E-05	6.07E-05	0.0063	0.00506	24.97708		
1.06E+01	6.03E+00	1.40E+01	1.06E+01	6.03E+00	0.078513581	
